지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%)
강릉,12월 01일,5.7,10.2,1.9,1.4,51.7
강릉,12월 02일,5.6,10.2,1.6,0.7,49.6
강릉,12월 03일,5.3,10.1,1.2,0.6,48
강릉,12월 04일,5,9.7,0.9,1.1,48
강릉,12월 05일,4.9,9.6,0.8,1.6,48.2
강릉,12월 06일,4.8,9.4,0.9,2.2,49.6
강릉,12월 07일,4.7,9.3,0.9,2.2,49.8
강릉,12월 08일,4.7,9.2,1,2.2,50.6
강릉,12월 09일,4.6,9,1,1.8,50.4
강릉,12월 10일,4.3,8.7,0.7,1.4,49.2
강릉,12월 11일,4.1,8.5,0.3,0.8,48.8
강릉,12월 12일,3.8,8,-0.1,0.8,48.2
강릉,12월 13일,3.2,7.6,-0.5,0.7,46.7
강릉,12월 14일,3.1,7.6,-0.7,0.5,45.8
강릉,12월 15일,2.9,7.4,-0.9,0.6,45.8
강릉,12월 16일,2.5,7.1,-1.1,0.9,45
강릉,12월 17일,2.5,7,-1.1,1,46
강릉,12월 18일,2.7,7.4,-0.9,0.9,46.8
강릉,12월 19일,2.8,7.4,-0.8,1.2,47.5
강릉,12월 20일,3,7.5,-0.6,1.2,48.2
강릉,12월 21일,3.2,7.6,-0.4,1.1,48.9
강릉,12월 22일,3.2,7.6,-0.4,1.1,49.2
강릉,12월 23일,3,7.3,-0.7,1.8,49.9
강릉,12월 24일,2.6,7,-1,1.6,49.3
강릉,12월 25일,2.5,7,-1.2,1.5,47.8
강릉,12월 26일,2.3,6.9,-1.3,1.6,47.2
강릉,12월 27일,2.2,6.8,-1.5,1.5,46.1
강릉,12월 28일,2,6.6,-1.7,1.2,44.6
강릉,12월 29일,1.9,6.5,-1.8,1.2,45.1
강릉,12월 30일,1.6,6.2,-2,1.1,45.4
강릉,12월 31일,1.5,6,-2.2,0.9,46.2
